101 Bid Price,Bid Volume,Ask Price,Ask Volume
2361.42,17.0,2361.43,5.686144949999999
2361.41,20.0,2361.44,9.0
2361.4,14.26808042,2361.45,13.0
2361.39,19.0,2361.46,10.0
2361.38,17.0,2361.47,10.0
2361.37,15.0,2361.48,15.0
2361.36,15.0,2361.49,19.0
2361.35,14.0,2361.5,18.0
2361.34,16.0,2361.51,19.0
2361.33,22.0,2361.52,20.0
102 Bid Price,Bid Volume,Ask Price,Ask Volume
2361.34,12.26808042,2361.35,11.0
2361.33,31.0,2361.36,11.0
2361.32,25.0,2361.37,24.0
2361.31,33.0,2361.38,16.0
2361.3,65.08091173,2361.39,23.0
2361.29,32.0,2361.4,28.0
2361.28,41.0,2361.41,28.0
2361.27,24.0,2361.42,23.0
2361.26,46.0,2361.43,39.68614495
2361.25,27.0,2361.44,47.0
103 Bid Price,Bid Volume,Ask Price,Ask Volume
2361.29,4.348992150000001,2361.3,13.0
2361.28,46.0,2361.31,26.0
2361.27,35.0,2361.32,25.0
2361.26,52.0,2361.33,36.0
2361.25,38.0,2361.34,38.0
2361.24,48.0,2361.35,40.0
2361.23,41.0,2361.36,45.0
2361.22,62.0,2361.37,68.0
2361.21,51.0,2361.38,45.0
2361.2,50.21514588,2361.39,68.0
104 Bid Price,Bid Volume,Ask Price,Ask Volume
2361.24,24.34899215,2361.25,20.0
2361.23,44.0,2361.26,27.0
2361.22,78.0,2361.27,12.0
2361.21,58.0,2361.28,27.0
2361.2,61.21514588,2361.29,31.0
2361.19,57.0,2361.3,39.0
2361.18,62.0,2361.31,56.0
2361.17,56.0,2361.32,68.0
2361.16,64.0,2361.33,80.0
2361.15,77.0,2361.34,67.0
105 Bid Price,Bid Volume,Ask Price,Ask Volume
2361.2,43.56413803,2361.21,14.0
2361.19,61.0,2361.22,30.0
2361.18,66.0,2361.23,21.0
2361.17,69.0,2361.24,27.0
2361.16,72.0,2361.25,44.0
2361.15,89.0,2361.26,54.0
2361.14,75.0,2361.27,52.0
2361.13,83.0,2361.28,58.0
2361.12,84.0,2361.29,82.0
2361.11,89.0,2361.3,79.0
106 Bid Price,Bid Volume,Ask Price,Ask Volume
2361.16,77.0,2361.17,3.4358619699999977
2361.15,97.0,2361.18,25.0
2361.14,82.0,2361.19,25.0
2361.13,90.0,2361.2,30.0
2361.12,95.0,2361.21,35.0
2361.11,100.0,2361.22,59.0
2361.1,93.17635168,2361.23,58.0
2361.09,91.0,2361.24,78.0
2361.08,100.0,2361.25,85.0
2361.07,99.0,2361.26,94.0
107 Bid Price,Bid Volume,Ask Price,Ask Volume
2361.14,5.0,2361.15,22.0
2361.13,90.0,2361.16,26.0
2361.12,96.0,2361.17,32.43586197
2361.11,103.0,2361.18,72.0
2361.1,103.17635168,2361.19,67.0
2361.09,100.0,2361.2,74.0
2361.08,110.0,2361.21,61.0
2361.07,114.0,2361.22,97.0
2361.06,118.0,2361.23,96.0
2361.05,97.0,2361.24,115.0
108 Bid Price,Bid Volume,Ask Price,Ask Volume
2361.11,62.0,2361.12,29.0
2361.1,105.17635168,2361.13,30.0
2361.09,105.0,2361.14,34.0
2361.08,116.0,2361.15,62.0
2361.07,122.0,2361.16,76.0
2361.06,127.0,2361.17,61.43586197
2361.05,113.0,2361.18,110.0
2361.04,102.0,2361.19,109.0
2361.03,119.0,2361.2,102.0
2361.02,137.0,2361.21,100.0
109 Bid Price,Bid Volume,Ask Price,Ask Volume
2361.09,21.176351679999996,2361.1,34.0
2361.08,118.0,2361.11,37.0
2361.07,123.0,2361.12,59.0
2361.06,131.0,2361.13,67.0
2361.05,115.0,2361.14,73.0
2361.04,114.0,2361.15,96.0
2361.03,137.0,2361.16,124.0
2361.02,148.0,2361.17,96.43586196999999
2361.01,129.0,2361.18,134.0
2361.0,132.38911121,2361.19,133.0
110 Bid Price,Bid Volume,Ask Price,Ask Volume
2361.06,131.0,2361.07,10.823648320000004
2361.05,115.0,2361.08,21.0
2361.04,119.0,2361.09,27.0
2361.03,145.0,2361.1,75.0
2361.02,153.0,2361.11,80.0
2361.01,139.0,2361.12,94.0
2361.0,147.38911121,2361.13,107.0
2360.99,137.0,2361.14,119.0
2360.98,126.0,2361.15,125.0
2360.97,136.0,2361.16,162.0
111 Bid Price,Bid Volume,Ask Price,Ask Volume
2361.04,78.0,2361.05,21.0
2361.03,145.0,2361.06,27.0
2361.02,155.0,2361.07,39.823648320000004
2361.01,143.0,2361.08,58.0
2361.0,152.38911121,2361.09,67.0
2360.99,143.0,2361.1,109.0
2360.98,135.0,2361.11,121.0
2360.97,149.0,2361.12,135.0
2360.96,153.0,2361.13,141.0
2360.95,164.0,2361.14,144.0
112 Bid Price,Bid Volume,Ask Price,Ask Volume
2361.02,105.0,2361.03,24.0
2361.01,143.0,2361.04,34.0
2361.0,155.38911121,2361.05,49.0
2360.99,147.0,2361.06,75.0
2360.98,137.0,2361.07,71.82364832
2360.97,152.0,2361.08,104.0
2360.96,162.0,2361.09,105.0
2360.95,174.0,2361.1,150.0
2360.94,149.0,2361.11,146.0
2360.93,189.0,2361.12,161.0
113 Bid Price,Bid Volume,Ask Price,Ask Volume
2361.0,145.38911121,2361.01,28.0
2360.99,147.0,2361.02,29.0
2360.98,140.0,2361.03,58.0
2360.97,155.0,2361.04,80.0
2360.96,162.0,2361.05,84.0
2360.95,182.0,2361.06,111.0
2360.94,159.0,2361.07,112.82364832
2360.93,207.0,2361.08,143.0
2360.92,189.0,2361.09,132.0
2360.91,194.0,2361.1,187.0
114 Bid Price,Bid Volume,Ask Price,Ask Volume
2360.99,2.38911121000001,2361.0,30.0
2360.98,140.0,2361.01,64.0
2360.97,155.0,2361.02,62.0
2360.96,165.0,2361.03,90.0
2360.95,184.0,2361.04,109.0
2360.94,165.0,2361.05,125.0
2360.93,210.0,2361.06,147.0
2360.92,201.0,2361.07,136.82364832000002
2360.91,209.0,2361.08,171.0
2360.9,178.90429176,2361.09,168.0
115 Bid Price,Bid Volume,Ask Price,Ask Volume
2360.97,10.38911121000001,2360.98,18.0
2360.96,166.0,2360.99,28.0
2360.95,186.0,2361.0,58.0
2360.94,167.0,2361.01,117.0
2360.93,220.0,2361.02,91.0
2360.92,212.0,2361.03,132.0
2360.91,223.0,2361.04,144.0
2360.9,188.90429176,2361.05,159.0
2360.89,193.0,2361.06,191.0
2360.88,196.0,2361.07,168.82364832000002
116 Bid Price,Bid Volume,Ask Price,Ask Volume
2360.95,111.38911121000001,2360.96,30.0
2360.94,168.0,2360.97,34.0
2360.93,225.0,2360.98,47.0
2360.92,214.0,2360.99,56.0
2360.91,229.0,2361.0,101.0
2360.9,202.90429176,2361.01,159.0
2360.89,204.0,2361.02,129.0
2360.88,210.0,2361.03,156.0
2360.87,235.0,2361.04,181.0
2360.86,185.0,2361.05,191.0
117 Bid Price,Bid Volume,Ask Price,Ask Volume
2360.94,10.38911121000001,2360.95,22.0
2360.93,225.0,2360.96,62.0
2360.92,215.0,2360.97,72.0
2360.91,232.0,2360.98,99.0
2360.9,205.90429176,2360.99,105.0
2360.89,207.0,2361.0,147.0
2360.88,220.0,2361.01,193.0
2360.87,253.0,2361.02,156.0
2360.86,197.0,2361.03,192.0
2360.85,249.0,2361.04,211.0
118 Bid Price,Bid Volume,Ask Price,Ask Volume
2360.92,172.38911121,2360.93,17.0
2360.91,233.0,2360.94,26.0
2360.9,205.90429176,2360.95,50.0
2360.89,210.0,2360.96,86.0
2360.88,230.0,2360.97,113.0
2360.87,266.0,2360.98,154.0
2360.86,204.0,2360.99,145.0
2360.85,269.0,2361.0,182.0
2360.84,284.0,2361.01,228.0
2360.83,242.0,2361.02,181.0
119 Bid Price,Bid Volume,Ask Price,Ask Volume
2360.91,128.38911121,2360.92,25.0
2360.9,205.90429176,2360.93,55.0
